,City,Cloud %,Country,Humidity,Latatude,Longitute,Maximum Temperature,Wind
0,ugoofaaru,100,MV,63,5.67,73.0,83.39,3.27
1,mogadishu,40,SO,73,2.04,45.34,77.0,13.87
2,saskylakh,0,RU,39,71.97,114.09,61.25,7.76
3,carnarvon,0,ZA,52,-30.97,22.13,40.91,9.28
4,mar del plata,100,AR,72,-46.43,-67.52,39.83,19.73
5,kurkino,1,RU,71,53.42,38.66,56.93,9.89
6,ushuaia,75,AR,93,-54.81,-68.31,39.2,4.29
7,salalah,90,OM,100,17.01,54.1,77.0,9.17
8,bowen,40,AU,64,-20.01,148.25,75.99,18.34
9,puerto ayora,31,EC,91,-0.74,-90.35,68.0,5.01
10,hobart,40,AU,30,-42.88,147.33,55.4,12.75
11,alta floresta,1,BR,56,-9.87,-56.08,68.09,0.83
12,souillac,0,FR,87,45.6,-0.6,59.0,3.36
13,west bay,20,CA,82,49.34,-123.21,69.01,9.17
14,havelock,1,US,83,34.88,-76.9,78.8,2.51
15,jamestown,89,AU,62,-33.21,138.6,50.63,10.25
16,busselton,0,AU,33,-33.64,115.35,66.99,11.86
17,pisco,0,PE,87,-13.71,-76.2,54.0,4.7
18,nikolskoye,90,RU,76,59.7,30.79,55.99,8.95
19,thompson,40,CA,100,55.74,-97.86,59.0,3.98
20,iquitos,0,PE,94,-3.75,-73.25,75.2,1.12
21,cuiluan,58,CN,50,47.72,128.65,78.17,9.93
22,ribeira grande,0,PT,89,38.52,-28.7,73.49,18.57
23,avarua,19,CK,83,-21.21,-159.78,77.0,9.17
24,torbay,90,CA,100,47.66,-52.73,64.0,14.99
25,sola,51,TZ,47,-3.17,33.8,74.75,6.78
26,ahipara,31,NZ,100,-35.17,173.16,52.0,1.01
27,barrow,0,AR,46,-38.31,-60.23,45.23,12.93
28,kruisfontein,10,ZA,84,-34.0,24.73,47.93,4.97
29,atuona,10,PF,74,-9.8,-139.03,79.25,18.86
30,coffs harbour,31,AU,63,-30.3,153.13,68.0,12.75
31,narsaq,69,GL,71,60.91,-46.05,53.6,4.7
32,battle creek,1,US,93,42.32,-85.18,66.2,4.52
33,khatanga,0,RU,37,71.98,102.47,68.45,15.19
34,bahia blanca,0,AR,43,-38.72,-62.27,50.45,18.25
35,bluff,19,AU,48,-23.58,149.07,69.35,11.59
36,mataura,93,NZ,83,-46.19,168.86,48.0,11.99
37,georgetown,20,GY,100,6.8,-58.16,75.2,2.24
38,kodiak,1,US,83,39.95,-94.76,69.8,4.7
39,hilo,75,US,74,19.71,-155.08,78.8,4.7
40,lakes entrance,72,AU,64,-37.88,147.99,55.0,3.0
41,faya,75,SA,88,18.39,42.45,71.6,11.41
42,port alfred,45,ZA,86,-33.59,26.89,53.01,1.99
43,albany,40,US,82,42.65,-73.75,66.99,4.94
44,shelburne,20,CA,68,44.08,-80.2,68.0,5.82
45,tete,40,MZ,68,-16.16,33.59,69.8,6.93
46,kawalu,69,ID,59,-7.38,108.21,77.45,7.0
47,dabakala,93,CI,96,8.36,-4.43,70.61,5.57
48,ponta do sol,0,BR,57,-20.63,-46.0,58.01,2.44
49,leningradskiy,99,RU,91,69.38,178.42,34.25,23.69
50,taki,40,IN,75,22.59,88.93,89.6,5.82
51,zhangye,71,CN,12,38.94,100.46,83.75,11.14
52,marsh harbour,67,BS,76,26.54,-77.06,83.93,13.91
53,hasaki,20,JP,75,35.73,140.83,99.0,8.05
54,conde,38,BR,98,-11.81,-37.61,65.57,2.13
55,faanui,17,PF,80,-16.48,-151.75,78.17,20.8
56,rikitea,39,PF,68,-23.12,-134.97,67.19,19.51
57,altay,9,CN,43,47.83,88.13,71.51,6.98
58,hermanus,0,ZA,96,-34.42,19.24,48.0,4.0
59,arraial do cabo,5,BR,89,-22.97,-42.02,66.29,6.26
60,praia,0,BR,45,-20.25,-43.81,64.4,3.36
61,nuuk,8,GL,100,64.17,-51.74,42.8,9.17
62,ngunguru,2,NZ,77,-35.62,174.5,52.0,5.01
63,port elizabeth,90,US,88,39.31,-74.98,75.2,4.27
64,ambilobe,100,MG,55,-13.19,49.05,80.69,10.11
65,jining,85,CN,55,35.41,116.58,88.0,11.36
66,ancud,75,CL,87,-41.87,-73.83,44.6,12.75
67,kapaa,75,US,78,22.08,-159.32,84.2,19.46
68,mosetse,0,BW,21,-20.64,26.64,57.11,6.69
69,kailua,20,US,94,21.39,-157.74,84.2,12.75
70,saldanha,0,PT,62,41.42,-6.55,61.61,1.5
71,colares,20,PT,88,38.8,-9.45,64.99,12.75
72,benghazi,6,LY,75,32.12,20.07,78.89,14.45
73,luwuk,100,ID,91,-0.95,122.79,65.39,5.77
74,gao,73,ML,49,16.28,-0.04,86.99,7.94
75,curtesti,100,RO,68,47.72,26.65,68.0,5.82
76,kirakira,100,SB,88,-10.46,161.92,78.35,8.5
77,chokurdakh,0,RU,45,70.62,147.9,54.05,10.8
78,okhotsk,97,RU,77,59.36,143.24,61.07,12.48
79,chulman,0,RU,36,56.84,124.9,72.41,6.24
80,salinas,90,US,87,36.67,-121.66,62.01,11.41
81,harnai,0,PK,45,30.1,67.94,89.69,5.91
82,plettenberg bay,0,ZA,73,-34.05,23.37,48.47,4.16
83,srinagar,97,IN,78,34.07,74.82,64.49,3.96
84,kenai,75,US,82,60.55,-151.26,57.99,11.41
85,sant feliu de guixols,0,ES,82,41.78,3.03,73.0,5.82
86,uvat,100,RU,64,59.14,68.9,55.67,8.79
87,avera,1,US,78,33.19,-82.53,78.8,4.7
88,ust-ilimsk,100,RU,80,57.96,102.73,64.31,10.6
89,vostok,5,RU,62,46.45,135.83,82.31,7.99
90,port hardy,90,CA,87,50.7,-127.42,59.0,2.24
91,bredasdorp,0,ZA,93,-34.53,20.04,46.99,3.36
92,tigil,100,RU,75,57.8,158.67,57.47,12.53
93,norman wells,75,CA,56,65.28,-126.83,68.0,6.93
94,codrington,40,AU,63,-28.95,153.24,68.0,6.93
95,qaanaaq,83,GL,75,77.48,-69.36,42.89,3.98
96,cape town,0,ZA,93,-33.93,18.42,55.0,2.24
97,punta arenas,75,CL,91,-53.16,-70.91,33.8,4.7
98,bodri,100,IN,92,23.17,81.43,73.49,6.71
99,morondava,59,MG,68,-20.3,44.28,76.37,8.99
100,east london,0,ZA,81,-33.02,27.91,50.0,8.05
101,mfou,75,CM,100,3.72,11.64,68.0,6.93
102,san patricio,0,PY,78,-26.98,-56.83,65.03,8.05
103,sete,90,NP,76,27.58,86.44,76.19,5.7
104,airai,9,TL,48,-8.93,125.41,81.77,5.23
105,afantou,0,GR,69,36.29,28.16,80.6,6.93
106,luderitz,0,NA,75,-26.65,15.16,44.6,2.24
107,malmesbury,75,GB,87,51.58,-2.1,61.0,4.7
108,vaini,75,IN,94,15.34,74.49,75.2,9.17
109,baicheng,0,CN,32,45.61,122.87,89.15,8.81
110,likasi,47,CD,38,-10.99,26.74,59.45,5.14
111,westport,40,US,100,41.14,-73.36,72.0,4.7
112,qaqortoq,69,GL,71,60.72,-46.03,53.6,4.7
113,maues,61,BR,63,-3.38,-57.72,75.29,0.56
114,college,75,US,40,64.86,-147.8,71.6,24.16
115,qixingtai,10,CN,52,30.41,111.89,95.45,6.87
116,carndonagh,75,IE,87,55.25,-7.27,57.2,5.82
117,upernavik,66,GL,68,72.79,-56.15,47.75,9.06
118,wasilla,90,US,72,61.58,-149.44,64.4,3.36
119,terrak,0,NO,82,65.09,12.37,57.99,2.24
120,longyearbyen,20,NO,81,78.22,15.63,48.2,2.24
121,yellowknife,20,CA,59,62.45,-114.38,60.8,5.82
122,cidreira,0,BR,89,-30.17,-50.22,56.75,6.8
123,heinola,75,FI,71,61.2,26.03,54.0,6.93
124,grindavik,0,IS,87,63.84,-22.43,51.8,12.75
125,pochutla,5,MX,74,15.74,-96.47,82.4,6.35
126,kavos,20,GR,61,38.83,22.83,79.0,5.79
127,great falls,20,US,38,47.5,-111.29,75.2,28.86
128,dikson,100,RU,76,73.51,80.55,45.41,13.06
129,truckee,1,US,57,39.33,-120.18,75.2,4.7
130,japura,34,ID,40,-0.42,102.29,93.11,4.07
131,amapa,40,HN,78,15.09,-87.97,80.6,3.36
132,castro,75,CL,87,-42.48,-73.76,44.6,12.75
133,new norfolk,40,AU,30,-42.78,147.06,55.4,12.75
134,constitucion,45,MX,68,23.99,-104.67,66.99,8.01
135,mount gambier,75,AU,76,-37.83,140.78,53.6,13.87
136,champerico,75,MX,69,16.38,-93.6,78.8,11.41
137,mareeba,75,AU,61,-16.99,145.42,77.0,20.8
138,sobolevo,17,RU,81,54.43,31.9,53.15,7.61
139,anadyr,0,RU,54,64.73,177.51,59.0,8.95
140,guane,34,CU,75,22.2,-84.09,84.11,14.92
141,pokhara,100,NP,87,28.21,83.99,61.25,2.04
142,bambous virieux,20,MU,78,-20.34,57.76,75.2,11.41
143,port lincoln,67,AU,69,-34.72,135.86,55.67,15.1
144,kloulklubed,90,PW,78,7.04,134.26,82.4,14.99
145,nome,1,US,88,30.04,-94.42,82.0,4.18
146,rocha,95,UY,95,-34.48,-54.34,58.37,6.29
147,umkomaas,96,ZA,94,-30.21,30.8,59.0,3.31
148,ponerihouen,51,NC,63,-21.08,165.4,66.83,4.03
149,coahuayana,75,MX,91,18.62,-100.35,71.51,2.95
150,katsuura,20,JP,56,33.93,134.5,95.0,12.75
151,srednekolymsk,100,RU,61,67.46,153.71,51.71,6.67
152,linxia,31,CN,45,35.6,103.21,73.31,6.06
153,menongue,0,AO,24,-14.66,17.68,49.01,2.3
154,luoyang,62,CN,52,34.66,112.42,88.79,16.49
155,bethel,90,US,77,60.79,-161.76,60.8,14.99
156,kita,20,JP,70,35.76,139.74,100.99,8.05
157,boende,78,CD,80,-0.28,20.88,76.37,3.02
158,acari,55,BR,79,-6.44,-36.64,71.87,12.37
159,woodward,1,US,37,36.43,-99.39,86.0,18.34
160,berlevag,75,NO,93,70.86,29.09,46.4,16.11
161,butaritari,69,KI,68,3.07,172.79,83.57,3.2
162,galle,95,GN,98,10.08,-12.83,68.45,1.77
163,guerrero negro,0,MX,89,27.97,-114.04,65.57,11.12
164,lasa,20,CY,69,34.92,32.53,77.0,5.82
165,rawson,2,AR,68,-43.3,-65.11,42.53,22.79
166,karratha,47,AU,15,-20.74,116.85,87.17,9.95
167,talnakh,75,RU,87,69.49,88.39,59.0,15.66
168,placerville,0,US,37,38.73,-120.8,80.01,4.7
169,kihei,40,US,69,20.76,-156.45,82.0,17.22
170,mercedes,100,UY,88,-33.25,-58.03,59.0,4.0
171,montepuez,100,MZ,64,-13.13,39.0,75.11,3.04
172,saint george,20,GR,61,39.45,22.34,78.8,3.53
173,charters towers,11,AU,33,-20.07,146.27,75.65,11.72
174,victoria,75,BN,55,5.28,115.24,93.2,4.7
175,horasan,0,TR,51,40.04,42.16,72.23,0.76
176,shchors,39,UA,78,51.82,31.95,54.41,6.91
177,gushikawa,40,JP,63,26.35,127.87,91.4,18.34
178,opuwo,0,NA,30,-18.06,13.84,51.89,3.33
179,isangel,40,VU,106,-19.55,169.27,77.0,11.41
180,vao,80,EE,66,59.1,26.19,59.81,5.3
181,coihaique,0,CL,99,-45.58,-72.07,33.8,1.12
182,rio verde de mato grosso,0,BR,41,-18.92,-54.84,69.17,6.62
183,miyako,20,JP,74,33.63,130.94,99.0,5.82
184,korsakov,90,RU,88,46.63,142.78,69.8,11.18
185,majene,33,ID,69,-3.54,118.97,82.49,20.45
186,tasiilaq,0,GL,70,65.61,-37.64,48.2,1.12
187,lufilufi,75,WS,83,-13.87,-171.6,82.4,8.05
188,cabo san lucas,20,MX,69,22.89,-109.91,82.99,7.0
189,toronto,1,CA,60,43.65,-79.39,69.8,8.05
190,lata,100,IN,99,30.78,78.62,47.75,6.71
191,santa fe,68,AR,88,-31.62,-60.7,63.0,5.99
192,svetlaya,94,RU,71,46.54,138.33,76.19,3.51
193,aklavik,40,CA,49,68.22,-135.01,68.0,2.24
194,sao joao da barra,15,BR,96,-21.64,-41.05,61.97,1.52
195,mariakani,40,KE,94,-3.87,39.47,73.4,5.82
196,nizhniy ufaley,100,RU,92,55.91,59.99,64.67,6.04
197,medowie,20,AU,63,-32.73,151.85,64.99,11.41
198,russell,1,US,61,38.9,-98.86,84.2,9.17
199,salima,33,MW,60,-13.78,34.45,68.45,12.33
200,staryy nadym,100,RU,67,65.61,72.68,61.97,18.25
201,mmathubudukwane,0,BW,44,-24.61,26.43,37.4,1.12
202,olga,1,US,68,34.11,-118.17,72.0,3.42
203,carutapera,18,BR,86,-1.2,-46.02,77.09,5.99
204,solnechnyy,100,RU,97,50.72,136.64,64.67,5.12
205,assiniboia,0,CA,75,49.63,-105.99,66.65,11.99
206,severo-kurilsk,94,RU,96,50.68,156.12,49.19,12.12
207,flin flon,0,CA,69,54.77,-101.88,56.39,4.72
208,hithadhoo,0,MV,69,-0.6,73.08,83.75,11.36
209,tecoanapa,20,MX,79,16.99,-99.26,84.2,6.93
210,fraga,19,ES,77,41.52,0.35,69.8,16.11
211,kaitangata,74,NZ,86,-46.28,169.85,42.17,9.4
212,krasnopavlivka,0,UA,63,49.15,36.33,59.81,7.83
213,oussouye,40,SN,94,12.49,-16.54,75.2,2.24
214,iqaluit,90,CA,100,63.75,-68.52,37.4,11.41
215,dingle,100,PH,78,11.0,122.67,83.75,12.35
216,sitka,78,US,41,37.17,-99.65,84.0,11.01
217,maholi,62,IN,57,27.65,80.48,90.77,8.97
218,kushiro,20,JP,70,43.11,144.15,84.2,12.75
219,nanortalik,44,GL,82,60.14,-45.24,41.45,0.51
220,nicoya,0,CR,78,10.15,-85.45,77.0,3.36
221,carballo,75,ES,87,43.21,-8.69,64.99,2.24
222,nyurba,83,RU,75,63.29,118.35,62.87,3.71
223,xining,64,CN,46,36.62,101.77,69.35,9.69
224,esperance,0,AU,42,-33.86,121.89,62.6,10.29
225,tuatapere,97,NZ,83,-46.13,167.69,48.0,11.99
226,oranjemund,0,ZA,79,-28.55,16.43,56.21,10.27
227,maine-soroa,45,NE,53,13.21,12.02,84.65,14.61
228,kaeo,9,NZ,100,-35.1,173.78,52.0,1.01
229,banswara,99,IN,82,23.55,74.45,82.49,17.0
230,cabedelo,40,BR,100,-6.97,-34.84,71.6,8.05
231,el ejido,0,ES,69,36.78,-2.82,75.99,5.82
232,saint-augustin,1,CA,56,45.63,-73.98,68.0,6.93
233,geraldton,5,CA,76,49.72,-86.95,55.4,4.7
234,san cristobal,28,HN,89,14.68,-86.92,65.93,2.73
235,merauke,96,ID,80,-8.49,140.4,76.55,23.82
236,yulara,0,AU,22,-25.24,130.99,68.0,11.41
237,lithgow,9,AU,40,-33.48,150.16,68.0,6.93
238,neustadt,20,CH,82,47.05,8.31,62.01,2.24
239,mahebourg,20,MU,78,-20.41,57.7,75.2,11.41
240,tiznit,14,MA,94,29.7,-9.73,66.11,6.26
241,felipe carrillo puerto,3,MX,99,19.58,-88.05,72.59,2.3
242,balkanabat,0,TM,16,39.51,54.36,103.01,8.34
243,peniche,20,PT,93,39.36,-9.38,62.6,3.36
244,dawson,1,US,72,39.85,-89.46,66.2,6.93
245,clyde river,1,CA,87,70.47,-68.59,44.6,2.24
246,alofi,1,NU,88,-19.06,-169.92,78.8,3.36
247,krasnyye barrikady,0,RU,37,46.2,47.86,71.6,11.18
248,fortuna,1,US,77,40.6,-124.16,62.6,3.36
249,san julian,98,PH,75,11.75,125.45,79.43,7.16
250,husavik,35,CA,62,50.56,-96.99,72.0,5.01
251,maryville,1,US,83,35.76,-83.97,75.0,2.26
252,plymouth,21,GB,100,50.37,-4.14,57.99,3.36
253,noshiro,75,JP,83,40.21,140.05,86.0,11.41
254,goundam,98,ML,59,16.42,-3.66,84.83,10.67
255,chuy,82,UY,94,-33.69,-53.46,57.83,6.4
256,nhamunda,40,BR,69,-2.19,-56.71,75.65,2.19
257,biak,100,ID,91,-0.91,122.88,65.39,5.77
258,bandar-e anzali,40,IR,79,37.47,49.46,84.2,5.95
259,ayan,0,IR,39,38.23,44.7,82.4,4.7
260,puxinana,40,BR,88,-7.16,-35.96,68.0,5.82
261,portland,20,US,73,43.66,-70.25,71.6,1.81
262,duncan,1,US,65,34.5,-97.96,84.2,8.05
263,jaciara,0,BR,44,-15.95,-54.98,67.19,2.77
264,berdigestyakh,100,RU,93,62.1,126.7,51.35,9.01
265,ayr,42,AU,45,-19.58,147.4,74.75,8.75
266,selikhino,70,RU,87,50.37,137.51,74.21,8.21
267,batagay-alyta,84,RU,48,67.8,130.41,47.75,3.71
268,eydhafushi,99,MV,65,5.1,73.07,83.21,3.13
269,voyvozh,54,RU,46,62.89,54.96,61.61,4.09
270,kysyl-syr,100,RU,90,63.9,122.77,50.99,7.05
271,zhigansk,5,RU,28,66.77,123.37,67.55,6.89
272,mont-dore,90,NC,60,-22.23,166.53,68.0,13.87
273,bilibino,95,RU,66,68.06,166.44,43.43,1.74
